Title,Venue,Room,Date,Start Time,End Date,End Time,Priority/Premium,Audience Type,Extended Q&A,Countries,Languages,Programme or Series,Directors,Region Availability
Casa Susanna,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Fri Sep 16,16:00,Fri Sep 16,17:37,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"France,United States of America",English,TIFF Docs,Sébastien Lifshitz,
Casa Susanna,digital TIFF Bell Lightbox,digital TIFF Bell Lightbox,Tue Sep 13,10:00,Tue Sep 13,11:37,No,General Public,No,"France,United States of America",English,TIFF Docs,Sébastien Lifshitz,Canada
Catherine Called Birdy,Royal Alexandra Theatre,Royal Alexandra Theatre,Sun Sep 11,13:30,Sun Sep 11,15:48,Yes,General Public,No,United Kingdom,English,Special Presentations,Lena Dunham,
Catherine Called Birdy,Scotiabank Theatre Toronto,Scotiabank 3,Mon Sep 12,08:45,Mon Sep 12,10:33,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United Kingdom,English,Special Presentations,Lena Dunham,
Catherine Called Birdy,Scotiabank Theatre Toronto,Scotiabank 4,Mon Sep 12,15:00,Mon Sep 12,17:18,No,General Public,No,United Kingdom,English,Special Presentations,Lena Dunham,
Catherine Called Birdy,Scotiabank Theatre Toronto,Scotiabank 1,Sat Sep 17,09:00,Sat Sep 17,11:18,No,General Public,No,United Kingdom,English,Special Presentations,Lena Dunham,
Causeway,Royal Alexandra Theatre,Royal Alexandra Theatre,Sat Sep 10,17:30,Sat Sep 10,19:32,Yes,General Public,No,United States of America,English,Special Presentations,Lila Neugebauer,
Causeway,Scotiabank Theatre Toronto,Scotiabank 11,Sun Sep 11,11:35,Sun Sep 11,13:07,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Special Presentations,Lila Neugebauer,
Causeway,Scotiabank Theatre Toronto,Scotiabank 1,Sun Sep 11,13:00,Sun Sep 11,15:02,No,General Public,No,United States of America,English,Special Presentations,Lila Neugebauer,
Causeway,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Thu Sep 15,15:00,Thu Sep 15,17:02,No,General Public,No,United States of America,English,Special Presentations,Lila Neugebauer,
Chevalier,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Sun Sep 11,15:30,Sun Sep 11,17:47,No,General Public,No,United States of America,English,Special Presentations,Stephen Williams,
Chevalier,Scotiabank Theatre Toronto,Scotiabank 9,Mon Sep 12,12:45,Mon Sep 12,14:32,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Special Presentations,Stephen Williams,
Chevalier,Scotiabank Theatre Toronto,Scotiabank 4,Mon Sep 12,21:35,Mon Sep 12,23:52,No,General Public,No,United States of America,English,Special Presentations,Stephen Williams,
Chevalier,Scotiabank Theatre Toronto,Scotiabank 1,Fri Sep 16,21:00,Fri Sep 16,23:17,No,General Public,No,United States of America,English,Special Presentations,Stephen Williams,
Ciné-Guerrillas: Scenes from the Labudovic Reels,Scotiabank Theatre Toronto,Scotiabank 14,Sat Sep 10,15:45,Sat Sep 10,17:49,No,General Public,No,"Serbia,France,Croatia,Montenegro","Serbian, French, Arabic, English",TIFF Docs,Mila Turajlic,
Ciné-Guerrillas: Scenes from the Labudovic Reels,Scotiabank Theatre Toronto,Scotiabank 6,Sat Sep 10,20:10,Sat Sep 10,21:44,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Serbia,France,Croatia,Montenegro","Serbian, French, Arabic, English",TIFF Docs,Mila Turajlic,
Ciné-Guerrillas: Scenes from the Labudovic Reels,Scotiabank Theatre Toronto,Scotiabank 10,Sun Sep 11,21:15,Sun Sep 11,23:19,No,General Public,No,"Serbia,France,Croatia,Montenegro","Serbian, French, Arabic, English",TIFF Docs,Mila Turajlic,
Ciné-Guerrillas: Scenes from the Labudovic Reels,Scotiabank Theatre Toronto,Scotiabank 10,Thu Sep 15,15:15,Thu Sep 15,16:49,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Serbia,France,Croatia,Montenegro","Serbian, French, Arabic, English",TIFF Docs,Mila Turajlic,
Ciné-Guerrillas: Scenes from the Labudovic Reels,Scotiabank Theatre Toronto,Scotiabank 14,Thu Sep 15,21:30,Thu Sep 15,23:34,No,General Public,No,"Serbia,France,Croatia,Montenegro","Serbian, French, Arabic, English",TIFF Docs,Mila Turajlic,
Concrete Valley,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Mon Sep 12,18:00,Mon Sep 12,20:00,No,General Public,No,Canada,"English, Arabic",Wavelengths,Antoine Bourges,
Concrete Valley,Scotiabank Theatre Toronto,Scotiabank 11,Tue Sep 13,08:35,Tue Sep 13,10:05,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"English, Arabic",Wavelengths,Antoine Bourges,
Concrete Valley,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Fri Sep 16,19:00,Fri Sep 16,21:00,No,General Public,No,Canada,"English, Arabic",Wavelengths,Antoine Bourges,
Concrete Valley,digital TIFF Bell Lightbox,digital TIFF Bell Lightbox,Fri Sep 16,10:00,Fri Sep 16,11:30,No,General Public,No,Canada,"English, Arabic",Wavelengths,Antoine Bourges,Canada
Corsage,Scotiabank Theatre Toronto,Scotiabank 8,Thu Sep 08,21:05,Thu Sep 08,22:58,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Austria,France,Germany","English, French, German, Hungarian",Special Presentations,Marie Kreutzer,
Corsage,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Sun Sep 11,21:15,Sun Sep 11,23:38,No,General Public,No,"Austria,France,Germany","English, French, German, Hungarian",Special Presentations,Marie Kreutzer,
Corsage,Scotiabank Theatre Toronto,Scotiabank 14,Mon Sep 12,09:30,Mon Sep 12,11:53,No,General Public,No,"Austria,France,Germany","English, French, German, Hungarian",Special Presentations,Marie Kreutzer,
Corsage,Scotiabank Theatre Toronto,Scotiabank 4,Thu Sep 15,12:30,Thu Sep 15,14:53,No,General Public,No,"Austria,France,Germany","English, French, German, Hungarian",Special Presentations,Marie Kreutzer,
Coyote,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Sun Sep 11,11:30,Sun Sep 11,13:29,No,General Public,No,Canada,"French, Spanish",Contemporary World Cinema,Katherine Jerkovic,
Coyote,Scotiabank Theatre Toronto,Scotiabank 6,Mon Sep 12,17:10,Mon Sep 12,18:39,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"French, Spanish",Contemporary World Cinema,Katherine Jerkovic,
Coyote,Scotiabank Theatre Toronto,Scotiabank 7,Tue Sep 13,14:50,Tue Sep 13,16:49,No,General Public,No,Canada,"French, Spanish",Contemporary World Cinema,Katherine Jerkovic,
Coyote,digital TIFF Bell Lightbox,digital TIFF Bell Lightbox,Thu Sep 15,10:00,Thu Sep 15,11:29,No,General Public,No,Canada,"French, Spanish",Contemporary World Cinema,Katherine Jerkovic,Canada
DIALOGUES Co-Writers,Canadian Broadcasting Centre,Glenn Gould Studio,Sun Sep 11,16:00,Sun Sep 11,17:00,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
DIALOGUES Covering Afghanistan for In Her Hands,Canadian Broadcasting Centre,Glenn Gould Studio,Tue Sep 13,11:00,Tue Sep 13,11:45,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
DIALOGUES Platform Directors,Canadian Broadcasting Centre,Glenn Gould Studio,Mon Sep 12,15:30,Mon Sep 12,16:30,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
DIALOGUES Primetime,Canadian Broadcasting Centre,Glenn Gould Studio,Fri Sep 09,10:00,Fri Sep 09,11:00,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
DIALOGUES Production & Development,Canadian Broadcasting Centre,Glenn Gould Studio,Fri Sep 09,11:30,Fri Sep 09,12:30,No,"Buyers Pass,Pro Pass,Digital Talks Pass,Guest",No,,,Industry Conference,,
Dalíland,Scotiabank Theatre Toronto,Scotiabank 12,Sun Sep 11,13:00,Sun Sep 11,14:44,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"United Kingdom,United States of America",English,Gala Presentations,Mary Harron,
Dalíland,Scotiabank Theatre Toronto,Scotiabank 2,Mon Sep 12,08:30,Mon Sep 12,10:14,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"United Kingdom,United States of America",English,Gala Presentations,Mary Harron,
Dalíland,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Sat Sep 17,18:30,Sat Sep 17,20:44,Yes,General Public,No,"United Kingdom,United States of America",English,Gala Presentations,Mary Harron,
Dalíland,Roy Thomson Hall,Roy Thomson Hall,Sat Sep 17,20:00,Sat Sep 17,22:14,Yes,General Public,No,"United Kingdom,United States of America",English,Gala Presentations,Mary Harron,
Daughter of Rage,Scotiabank Theatre Toronto,Scotiabank 11,Sat Sep 10,20:05,Sat Sep 10,22:05,No,General Public,No,Nicaragua,Spanish,Discovery,Laura Baumeister,
Daughter of Rage,Scotiabank Theatre Toronto,Scotiabank 6,Sun Sep 11,14:10,Sun Sep 11,15:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Nicaragua,Spanish,Discovery,Laura Baumeister,
Daughter of Rage,Scotiabank Theatre Toronto,Scotiabank 10,Sun Sep 11,18:15,Sun Sep 11,20:15,No,General Public,No,Nicaragua,Spanish,Discovery,Laura Baumeister,
Daughter of Rage,Scotiabank Theatre Toronto,Scotiabank 11,Thu Sep 15,08:35,Thu Sep 15,10:35,No,General Public,No,Nicaragua,Spanish,Discovery,Laura Baumeister,
Daughter of Rage,Scotiabank Theatre Toronto,Scotiabank 6,Thu Sep 15,20:10,Thu Sep 15,21:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Nicaragua,Spanish,Discovery,Laura Baumeister,
De Humani Corporis Fabrica,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Thu Sep 08,16:00,Thu Sep 08,17:55,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,France,French,Wavelengths,"Lucien Castaing-Taylor, Verena Paravel",
De Humani Corporis Fabrica,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Fri Sep 09,21:45,Sat Sep 10,00:10,No,General Public,No,France,French,Wavelengths,"Lucien Castaing-Taylor, Verena Paravel",
De Humani Corporis Fabrica,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Sat Sep 10,12:00,Sat Sep 10,14:25,No,General Public,No,France,French,Wavelengths,"Lucien Castaing-Taylor, Verena Paravel",
Dear Mama,Scotiabank Theatre Toronto,Scotiabank 7,Tue Sep 13,12:40,Tue Sep 13,13:45,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Primetime,Allen Hughes,
Dear Mama,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Thu Sep 15,19:00,Thu Sep 15,20:45,No,General Public,No,United States of America,English,Primetime,Allen Hughes,
Decision to Leave,Scotiabank Theatre Toronto,Scotiabank 2,Thu Sep 08,15:00,Thu Sep 08,17:18,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,South Korea,"Korean, Chinese",Special Presentations,Park Chan-wook,
Decision to Leave,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Mon Sep 12,21:45,Tue Sep 13,00:33,Yes,General Public,No,South Korea,"Korean, Chinese",Special Presentations,Park Chan-wook,
Decision to Leave,Scotiabank Theatre Toronto,Scotiabank 2,Thu Sep 15,19:30,Thu Sep 15,22:18,No,General Public,No,South Korea,"Korean, Chinese",Special Presentations,Park Chan-wook,
Devotion,Scotiabank Theatre Toronto,Scotiabank 12,Mon Sep 12,12:05,Mon Sep 12,14:23,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,"English, Korean",Special Presentations,JD Dillard,
Devotion,Cinesphere IMAX Theatre,Ontario Place Cinesphere,Mon Sep 12,18:00,Mon Sep 12,20:48,No,General Public,No,United States of America,"English, Korean",Special Presentations,JD Dillard,
Devotion,Cinesphere IMAX Theatre,Ontario Place Cinesphere,Wed Sep 14,21:00,Wed Sep 14,23:48,No,General Public,No,United States of America,"English, Korean",Special Presentations,JD Dillard,
Devotion,Cinesphere IMAX Theatre,Ontario Place Cinesphere,Thu Sep 15,17:30,Thu Sep 15,20:18,No,General Public,No,United States of America,"English, Korean",Special Presentations,JD Dillard,
Documentary Now!,Scotiabank Theatre Toronto,Scotiabank 1,Sat Sep 10,21:15,Sat Sep 10,22:53,No,General Public,No,United States of America,"English, French",TIFF Docs,"Alex Buono, Rhys Thomas, Micah Gardner",
Documentary Now!,Scotiabank Theatre Toronto,Scotiabank 5,Sun Sep 11,09:10,Sun Sep 11,10:18,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,"English, French",TIFF Docs,"Alex Buono, Rhys Thomas, Micah Gardner",
Documentary Now!,Scotiabank Theatre Toronto,Scotiabank 11,Wed Sep 14,19:35,Wed Sep 14,21:13,No,General Public,No,United States of America,"English, French",TIFF Docs,"Alex Buono, Rhys Thomas, Micah Gardner",
Documentary Now!,Scotiabank Theatre Toronto,Scotiabank 11,Thu Sep 15,19:35,Thu Sep 15,21:13,No,General Public,No,United States of America,"English, French",TIFF Docs,"Alex Buono, Rhys Thomas, Micah Gardner",
Domingo and the Mist,Scotiabank Theatre Toronto,Scotiabank 6,Fri Sep 09,18:15,Fri Sep 09,19:41,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Costa Rica,Qatar",Spanish,Contemporary World Cinema,Ariel Escalante Meza,
Domingo and the Mist,Scotiabank Theatre Toronto,Scotiabank 14,Mon Sep 12,19:00,Mon Sep 12,20:56,No,General Public,No,"Costa Rica,Qatar",Spanish,Contemporary World Cinema,Ariel Escalante Meza,
Domingo and the Mist,Scotiabank Theatre Toronto,Scotiabank 8,Tue Sep 13,12:00,Tue Sep 13,13:56,No,General Public,No,"Costa Rica,Qatar",Spanish,Contemporary World Cinema,Ariel Escalante Meza,
Driving Madeleine,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Fri Sep 09,20:00,Fri Sep 09,22:01,No,General Public,No,France,French,Special Presentations,Christian Carion,
Driving Madeleine,Scotiabank Theatre Toronto,Scotiabank 8,Sat Sep 10,12:00,Sat Sep 10,13:31,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,France,French,Special Presentations,Christian Carion,
Driving Madeleine,Scotiabank Theatre Toronto,Scotiabank 4,Sat Sep 10,18:30,Sat Sep 10,20:31,No,General Public,No,France,French,Special Presentations,Christian Carion,
Driving Madeleine,TIFF Bell Lightbox,TIFF Bell Lightbox 5,Tue Sep 13,09:00,Tue Sep 13,10:31,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,France,French,Special Presentations,Christian Carion,
Driving Madeleine,Scotiabank Theatre Toronto,Scotiabank 1,Sun Sep 18,17:30,Sun Sep 18,19:31,No,General Public,No,France,French,Special Presentations,Christian Carion,
Dry Ground Burning,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Mon Sep 12,21:00,Tue Sep 13,00:03,No,General Public,No,"Portugal,Brazil",Portuguese,Wavelengths,"Joana Pimenta, Adirley Queirós",
Dry Ground Burning,Scotiabank Theatre Toronto,Scotiabank 7,Tue Sep 13,09:10,Tue Sep 13,11:43,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Portugal,Brazil",Portuguese,Wavelengths,"Joana Pimenta, Adirley Queirós",
Dry Ground Burning,TIFF Bell Lightbox,TIFF Bell Lightbox 4,Wed Sep 14,14:00,Wed Sep 14,17:03,No,General Public,No,"Portugal,Brazil",Portuguese,Wavelengths,"Joana Pimenta, Adirley Queirós",
EO,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Tue Sep 13,09:00,Tue Sep 13,10:26,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Poland,Italy","Polish, English, French, Italian",Contemporary World Cinema,Jerzy Skolimowski,
EO,Scotiabank Theatre Toronto,Scotiabank 12,Tue Sep 13,16:30,Tue Sep 13,18:26,No,General Public,No,"Poland,Italy","Polish, English, French, Italian",Contemporary World Cinema,Jerzy Skolimowski,
EO,Scotiabank Theatre Toronto,Scotiabank 12,Wed Sep 14,20:30,Wed Sep 14,22:26,No,General Public,No,"Poland,Italy","Polish, English, French, Italian",Contemporary World Cinema,Jerzy Skolimowski,
El Suplente,Scotiabank Theatre Toronto,Scotiabank 13,Sat Sep 10,09:15,Sat Sep 10,11:05,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Argentina,Italy,Mexico,Spain,France",Spanish,Special Presentations,Diego Lerman,
El Suplente,Scotiabank Theatre Toronto,Scotiabank 7,Sun Sep 11,09:40,Sun Sep 11,11:30,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Argentina,Italy,Mexico,Spain,France",Spanish,Special Presentations,Diego Lerman,
El Suplente,Scotiabank Theatre Toronto,Scotiabank 3,Sun Sep 11,20:00,Sun Sep 11,22:20,No,General Public,No,"Argentina,Italy,Mexico,Spain,France",Spanish,Special Presentations,Diego Lerman,
El Suplente,Scotiabank Theatre Toronto,Scotiabank 14,Mon Sep 12,21:35,Mon Sep 12,23:55,No,General Public,No,"Argentina,Italy,Mexico,Spain,France",Spanish,Special Presentations,Diego Lerman,
El Suplente,Scotiabank Theatre Toronto,Scotiabank 4,Thu Sep 15,16:30,Thu Sep 15,18:50,No,General Public,No,"Argentina,Italy,Mexico,Spain,France",Spanish,Special Presentations,Diego Lerman,
El agua,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Thu Sep 08,13:30,Thu Sep 08,15:14,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Switzerland,Spain,France",Spanish,Contemporary World Cinema,Elena López Riera,
El agua,Scotiabank Theatre Toronto,Scotiabank 4,Thu Sep 08,18:30,Thu Sep 08,20:44,No,General Public,No,"Switzerland,Spain,France",Spanish,Contemporary World Cinema,Elena López Riera,
El agua,Scotiabank Theatre Toronto,Scotiabank 9,Sat Sep 10,18:35,Sat Sep 10,20:49,No,General Public,No,"Switzerland,Spain,France",Spanish,Contemporary World Cinema,Elena López Riera,
Emily,Royal Alexandra Theatre,Royal Alexandra Theatre,Fri Sep 09,20:30,Fri Sep 09,23:10,No,General Public,No,United Kingdom,English,Platform,Frances O'Connor,
Emily,Scotiabank Theatre Toronto,Scotiabank 8,Sat Sep 10,09:05,Sat Sep 10,11:15,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United Kingdom,English,Platform,Frances O'Connor,
Emily,Scotiabank Theatre Toronto,Scotiabank 14,Sun Sep 11,12:20,Sun Sep 11,15:00,No,General Public,No,United Kingdom,English,Platform,Frances O'Connor,
Empire of Light,Scotiabank Theatre Toronto,Scotiabank 4,Mon Sep 12,09:30,Mon Sep 12,11:29,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"United Kingdom,United States of America",English,Special Presentations,Sam Mendes,
Empire of Light,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Mon Sep 12,15:00,Mon Sep 12,17:29,Yes,General Public,No,"United Kingdom,United States of America",English,Special Presentations,Sam Mendes,
Empire of Light,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Tue Sep 13,15:00,Tue Sep 13,17:29,No,General Public,No,"United Kingdom,United States of America",English,Special Presentations,Sam Mendes,
Empire of Light,Royal Alexandra Theatre,Royal Alexandra Theatre,Sat Sep 17,17:00,Sat Sep 17,19:29,No,General Public,No,"United Kingdom,United States of America",English,Special Presentations,Sam Mendes,
Ever Deadly,Scotiabank Theatre Toronto,Scotiabank 4,Fri Sep 09,21:30,Fri Sep 09,23:30,No,General Public,No,Canada,"English, Inuktitut",TIFF Docs,"Tanya Tagaq, Chelsea McMullan",
Ever Deadly,Scotiabank Theatre Toronto,Scotiabank 8,Sat Sep 10,18:05,Sat Sep 10,19:35,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"English, Inuktitut",TIFF Docs,"Tanya Tagaq, Chelsea McMullan",
Ever Deadly,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Wed Sep 14,17:00,Wed Sep 14,19:00,No,General Public,No,Canada,"English, Inuktitut",TIFF Docs,"Tanya Tagaq, Chelsea McMullan",
Ever Deadly,Scotiabank Theatre Toronto,Scotiabank 6,Fri Sep 16,20:10,Fri Sep 16,21:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"English, Inuktitut",TIFF Docs,"Tanya Tagaq, Chelsea McMullan",
Ever Deadly,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Sun Sep 18,13:00,Sun Sep 18,15:00,No,General Public,No,Canada,"English, Inuktitut",TIFF Docs,"Tanya Tagaq, Chelsea McMullan",
Ever Deadly,digital TIFF Bell Lightbox,digital TIFF Bell Lightbox,Tue Sep 13,10:00,Tue Sep 13,11:30,No,General Public,No,Canada,"English, Inuktitut",TIFF Docs,"Tanya Tagaq, Chelsea McMullan",Canada
Falcon Lake,Scotiabank Theatre Toronto,Scotiabank 3,Thu Sep 08,14:45,Thu Sep 08,16:25,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,Canada,"French, English",Contemporary World Cinema,Charlotte Le Bon,
Falcon Lake,Scotiabank Theatre Toronto,Scotiabank 4,Tue Sep 13,18:30,Tue Sep 13,20:40,No,General Public,No,Canada,"French, English",Contemporary World Cinema,Charlotte Le Bon,
Falcon Lake,TIFF Bell Lightbox,TIFF Bell Lightbox 3,Wed Sep 14,12:30,Wed Sep 14,14:40,No,General Public,No,Canada,"French, English",Contemporary World Cinema,Charlotte Le Bon,
Fixation,Scotiabank Theatre Toronto,Scotiabank 8,Fri Sep 09,09:05,Fri Sep 09,10:44,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Canada,United States of America,Germany",English,Contemporary World Cinema,Mercedes Bryce Morgan,
Fixation,Scotiabank Theatre Toronto,Scotiabank 8,Fri Sep 09,15:05,Fri Sep 09,17:14,No,General Public,No,"Canada,United States of America,Germany",English,Contemporary World Cinema,Mercedes Bryce Morgan,
Fixation,Scotiabank Theatre Toronto,Scotiabank 13,Sun Sep 11,21:25,Sun Sep 11,23:34,No,General Public,No,"Canada,United States of America,Germany",English,Contemporary World Cinema,Mercedes Bryce Morgan,
Fixation,Scotiabank Theatre Toronto,Scotiabank 8,Wed Sep 14,09:05,Wed Sep 14,10:44,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Canada,United States of America,Germany",English,Contemporary World Cinema,Mercedes Bryce Morgan,
Free Money,Scotiabank Theatre Toronto,Scotiabank 11,Sun Sep 11,19:35,Sun Sep 11,21:19,No,General Public,No,"Kenya,United States of America","English, Swahili, Luo",TIFF Docs,"Sam Soko, Lauren DeFilippo",
Free Money,Scotiabank Theatre Toronto,Scotiabank 5,Mon Sep 12,12:10,Mon Sep 12,13:24,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Kenya,United States of America","English, Swahili, Luo",TIFF Docs,"Sam Soko, Lauren DeFilippo",
Free Money,Scotiabank Theatre Toronto,Scotiabank 11,Mon Sep 12,15:35,Mon Sep 12,17:19,No,General Public,No,"Kenya,United States of America","English, Swahili, Luo",TIFF Docs,"Sam Soko, Lauren DeFilippo",
Free Money,Scotiabank Theatre Toronto,Scotiabank 6,Wed Sep 14,11:10,Wed Sep 14,12:24,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Kenya,United States of America","English, Swahili, Luo",TIFF Docs,"Sam Soko, Lauren DeFilippo",
Free Money,Scotiabank Theatre Toronto,Scotiabank 14,Thu Sep 15,18:00,Thu Sep 15,19:44,No,General Public,No,"Kenya,United States of America","English, Swahili, Luo",TIFF Docs,"Sam Soko, Lauren DeFilippo",
Glass Onion: A Knives Out Mystery,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Sat Sep 10,18:00,Sat Sep 10,20:49,Yes,General Public,No,United States of America,English,Special Presentations,Rian Johnson,
Glass Onion: A Knives Out Mystery,Visa Screening Room at the Princess of Wales Theatre,VISA Screening Room at the Princess of Wales Theatre,Sun Sep 11,09:00,Sun Sep 11,11:49,No,General Public,No,United States of America,English,Special Presentations,Rian Johnson,
Glass Onion: A Knives Out Mystery,Royal Alexandra Theatre,Royal Alexandra Theatre,Mon Sep 12,12:30,Mon Sep 12,14:49,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Special Presentations,Rian Johnson,
Glass Onion: A Knives Out Mystery,Cinesphere IMAX Theatre,Ontario Place Cinesphere,Tue Sep 13,18:00,Tue Sep 13,20:49,No,General Public,No,United States of America,English,Special Presentations,Rian Johnson,
Glass Onion: A Knives Out Mystery,Cinesphere IMAX Theatre,Ontario Place Cinesphere,Thu Sep 15,21:30,Fri Sep 16,00:19,No,General Public,No,United States of America,English,Special Presentations,Rian Johnson,
Glass Onion: A Knives Out Mystery,TIFF Bell Lightbox,TIFF Bell Lightbox 1,Sat Sep 17,21:00,Sat Sep 17,23:49,No,General Public,No,United States of America,English,Special Presentations,Rian Johnson,
Godland,Scotiabank Theatre Toronto,Scotiabank 8,Thu Sep 08,12:00,Thu Sep 08,14:23,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,"Denmark,Iceland,France,Sweden","Danish, Icelandic",Contemporary World Cinema,Hlynur Pálmason,
Godland,Scotiabank Theatre Toronto,Scotiabank 3,Thu Sep 08,20:45,Thu Sep 08,23:38,No,General Public,No,"Denmark,Iceland,France,Sweden","Danish, Icelandic",Contemporary World Cinema,Hlynur Pálmason,
Godland,Scotiabank Theatre Toronto,Scotiabank 2,Fri Sep 09,15:00,Fri Sep 09,17:53,No,General Public,No,"Denmark,Iceland,France,Sweden","Danish, Icelandic",Contemporary World Cinema,Hlynur Pálmason,
Godland,Scotiabank Theatre Toronto,Scotiabank 12,Thu Sep 15,12:05,Thu Sep 15,14:58,No,General Public,No,"Denmark,Iceland,France,Sweden","Danish, Icelandic",Contemporary World Cinema,Hlynur Pálmason,
Good Night Oppy,Scotiabank Theatre Toronto,Scotiabank 3,Mon Sep 12,17:45,Mon Sep 12,20:00,No,General Public,No,United States of America,English,Special Presentations,Ryan White,
Good Night Oppy,Scotiabank Theatre Toronto,Scotiabank 12,Tue Sep 13,08:55,Tue Sep 13,10:40,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,United States of America,English,Special Presentations,Ryan White,
Good Night Oppy,Cinesphere IMAX Theatre,Ontario Place Cinesphere,Wed Sep 14,18:00,Wed Sep 14,20:15,No,General Public,No,United States of America,English,Special Presentations,Ryan White,
Good Night Oppy,Scotiabank Theatre Toronto,Scotiabank 12,Sat Sep 17,12:05,Sat Sep 17,14:20,No,General Public,No,United States of America,English,Special Presentations,Ryan White,
Hawa,Scotiabank Theatre Toronto,Scotiabank 6,Fri Sep 09,11:10,Fri Sep 09,12:54,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,France,"French, Bambara",Platform,Maïmouna Doucouré,
Hawa,TIFF Bell Lightbox,TIFF Bell Lightbox 2,Tue Sep 13,20:30,Tue Sep 13,22:44,No,General Public,No,France,"French, Bambara",Platform,Maïmouna Doucouré,
Hawa,Scotiabank Theatre Toronto,Scotiabank 2,Wed Sep 14,11:30,Wed Sep 14,13:44,No,General Public,No,France,"French, Bambara",Platform,Maïmouna Doucouré,
Hawa,Scotiabank Theatre Toronto,Scotiabank 6,Wed Sep 14,14:10,Wed Sep 14,15:54,No,"Buyers Pass,Pro Pass,Guest,Press Passes",No,France,"French, Bambara",Platform,Maïmouna Doucouré,
